申论题ID,年份,考试类型,地区/系统,卷别/类别,题号,子题号,题型一级,题型二级,题干_V3可用版,作答要求_V3可用版,材料范围,分值,字数要求,主题标签,关联材料编号,来源文件,V3置信度,V3清洗动作,V3问题标记
SL-00023,2008,国考,国考,通用卷,1,3.1,综合分析,解释评价/启示分析,"本题仅限报考行政执法类、市（地）以下综合管理类职位的考生作答。
""给定材料7""引用了上海某研究所G所长的话，""美国人民把搁浅的鲸鱼推入大海，这值得赞扬；鲸鱼被非洲难民捕食，这也应赞扬，因为它救活了一群人。""请说明，这表达了G所长怎样的观点。（10分）",简明、准确阐释该观点，不超过200字。,7；6,10,不超过200字,法治政府,国考-2008-未知-M40；国考-2008-未知-M1；国考-2008-未知-M9；国考-2008-未知-M7；国考-2008-未知-M6；国考-2008-未知-M11,2008年国家录用公务员考试《申论》真题卷及答案.pdf,高,通过强清洗，可进入候选池,
SL-00024,2008,国考,国考,通用卷,1,3.2,申论综合,待细分,"本题仅限报考行政执法类、市（地）以下综合管理类职位的考生作答。
""给定材料6""引述了某学报C主编提出的意见。请你站在水电规划部门的立场，对C主编的意见做出
答复（15分）",有条理地写出答复内容，有理有据，不考虑行文格式，不超过300字。,7；6,10,不超过200字,法治政府,国考-2008-未知-M40；国考-2008-未知-M1；国考-2008-未知-M9；国考-2008-未知-M7；国考-2008-未知-M6；国考-2008-未知-M11,2008年国家录用公务员考试《申论》真题卷及答案.pdf,高,通过强清洗，可进入候选池,
SL-00025,2008,国考,国考,通用卷,1,4,文章写作,大作文/议论文,"请以""从'怒江水电开发'说开去""为题，写一篇文章（40分）","1．结合给定材料，自选角度。
2．符合题意，观点鲜明，内容充实，结构完整，语言流畅。",，,40,,,国考-2008-未知-M40；国考-2008-未知-M1；国考-2008-未知-M9；国考-2008-未知-M7；国考-2008-未知-M6；国考-2008-未知-M11,2008年国家录用公务员考试《申论》真题卷及答案.pdf,高,通过强清洗，可进入候选池,
SL-00052,2016,国考,国考,省级卷,1,1,提出对策,对策措施,阅读“给定材料2”，概括全国“两会”代表委员们所关注的若干问题，及其所给出的具体建议。（15分）,全面、准确、简明，不超过200字。,2,15,不超过200字,,国考-2016-省级-M2；国考-2016-省级-M6；国考-2016-省级-M4；国考-2016-省级-M5；国考-2016-省级-M3,2016年国家录用公务员考试《申论》真题卷及答案（副省级）.pdf,高,通过强清洗，可进入候选池,
SL-00053,2016,国考,国考,省级卷,1,2,综合分析,解释评价/启示分析,“给定材料6”中说“中国教育技术层面已经走得太快了，‘灵魂’跟不上了。”请根据“给定材料6”，指出这句话的含义。（10分）,全面、准确，不超过150字。,6；6,10,不超过150字,公共服务；文化教育,国考-2016-省级-M2；国考-2016-省级-M6；国考-2016-省级-M4；国考-2016-省级-M5；国考-2016-省级-M3,2016年国家录用公务员考试《申论》真题卷及答案（副省级）.pdf,高,通过强清洗，可进入候选池,
SL-00054,2016,国考,国考,省级卷,1,3,贯彻执行,应用文/事务文书,某美术馆正在策划艺术家黎明的作品展，请根据“给定材料4”，为这一作品展撰写一则导言。（20分）,"（1）围绕黎明的创作宗旨、作品材质及其艺术追求等方面作答；
（2）内容具体、层次分明、语言流畅；
（3）不超过400字。",4,20,不超过400字,,国考-2016-省级-M2；国考-2016-省级-M6；国考-2016-省级-M4；国考-2016-省级-M5；国考-2016-省级-M3,2016年国家录用公务员考试《申论》真题卷及答案（副省级）.pdf,高,通过强清洗，可进入候选池,
SL-00055,2016,国考,国考,省级卷,1,4,文章写作,大作文/议论文,"某区一所中学举办“文明素养教育主题宣传周”活动，假如你是该区文明办的负责人，校
方请你在这次活动的开幕式上讲话。请结合“给定材料5”，写一篇题为“素质养成，从学会道谢
和应对致谢开始”的讲话稿。（20分）","（1）内容具体，符合实际；
（2）对象明确，切合题意；
（3）语言生动，有感染力；
（4）不超过500字。",5,20,不超过500字,公共服务；文化教育,国考-2016-省级-M2；国考-2016-省级-M6；国考-2016-省级-M4；国考-2016-省级-M5；国考-2016-省级-M3,2016年国家录用公务员考试《申论》真题卷及答案（副省级）.pdf,高,通过强清洗，可进入候选池,
SL-00057,2016,国考,国考,地市级卷,1,1,贯彻执行,应用文/事务文书,请你根据“给定材料1”的内容，将与会人员关于“好政策”的有关见解，汇总整理成一份简报。（20分）,"（1）内容全面，紧扣材料；
（2）观点明确，简明扼要；
（3）语言流畅，条理清晰；
（4）不考虑格式要求，不超过400字。",1,20,不超过400字,,国考-2016-市级-M1；国考-2016-市级-M2；国考-2016-市级-M3；国考-2016-市级-M4,2016年国家录用公务员考试《申论》真题卷及答案（地市级）.pdf,高,通过强清洗，可进入候选池,
SL-00058,2016,国考,国考,地市级卷,1,2,归纳概括,概括要点,请你根据“给定材料2”，列出H市政府办理“市长信箱”群众来信的基流程和要求。（20分）,紧扣材料，全面准确，条理清晰，不超过300字。,2；，,20,不超过300字,基层治理；群众工作,国考-2016-市级-M1；国考-2016-市级-M2；国考-2016-市级-M3；国考-2016-市级-M4,2016年国家录用公务员考试《申论》真题卷及答案（地市级）.pdf,高,通过强清洗，可进入候选池,
SL-00059,2016,国考,国考,地市级卷,1,3,综合分析,解释评价/启示分析,"根据“给定材料3”，回答下列问题。
（1）T县政府出台的规定引发了社会热议。请你分析引发热议的主要原因有哪些。（10分）","全面，准确，简明。不超过150字。
（2）对于T县政府出台的规定，网友们有的赞成，有的反对。请你对网友们的意见进行梳理，
概括他们赞成和反对的主要理由。（10分）
要求：紧扣材料，全面准确，条理清晰。不超过300字。",3；，,10,不超过150字,,国考-2016-市级-M1；国考-2016-市级-M2；国考-2016-市级-M3；国考-2016-市级-M4,2016年国家录用公务员考试《申论》真题卷及答案（地市级）.pdf,高,通过强清洗，可进入候选池,
SL-00060,2016,国考,国考,地市级卷,1,4,文章写作,大作文/议论文,"“给定材料4”中提到：“从某种意义上说，好的政策不仅仅是对公民意愿的满足，更是
对公民理性乃至德性的滋养。”请你从对这句话引发的思考说开去，写一篇文章。（40分）","（1）自选角度，自拟题目，见解明确、深刻；
（2）思路明晰，语言流畅；
（3）参考“给定",4,40,,,国考-2016-市级-M1；国考-2016-市级-M2；国考-2016-市级-M3；国考-2016-市级-M4,2016年国家录用公务员考试《申论》真题卷及答案（地市级）.pdf,高,通过强清洗，可进入候选池,
SL-00061,2017,国考,国考,地市级卷,1,,文章写作,大作文/议论文,"请根据你对这句话的思考，参考给定材料，自拟题目，写
一篇文章。（40分）","（1）中心明确，思想深刻；（2）内容充实，有说服力；（3）语言流畅，1000字
左右。 【思路点破：本题也是从给定材料中摘录一句话，要求考生展开思考，结合材料写文章。考生应阐明
“互相补长取短，用一盏灯点燃另一盏灯，300多年前，德国先哲莱布尼茨对中西方文明这样期待”这句话的
内涵，再从原因、意义、对策等角度展开论证。】
第二步——阅读题干找到文章的主题和写作角度（具体方法见答题思路）
逻辑结构上，任何申论文章都可以从“是什么（内涵、问题等）——为什么（作用、意义、原因等）——
怎么办（对策）”三个方面展开思考和论述。【这些要素都是你可以提出论点角度，具体选那个，要根据题目
和材料】。注：整个文章大的架构可以这样写，也可以每个分论点以这样的逻辑结构去写，在考试中要在题目
及材料的基础上，根据最好写的、自己最擅长的角度入手。
就本题而言，考试时，按是什么-为什么-怎么办打开思路，至少要确定几点：
1、是什么：解释出这句话的含义很重要，决定文章的成败，应在文章开头就直接了当的解释清楚。“只要
我们能",，,40,,文化教育,国考-2017-市级-M2；国考-2017-市级-M3；国考-2017-市级-M4；国考-2017-市级-M5；国考-2017-市级-M1,2017年国家录用公务员考试《申论》真题卷及答案（地市级）（含解析共20面）.pdf,高,通过强清洗，可进入候选池,
SL-00072,2018,国考,国考,地市级卷,1,,综合分析,解释评价/启示分析,"请根据“给定材料2”，分析他为什么感到压力很大。（10
分）","（1）全面、准确，有条理；
（2）不超过200字。",2；4；3,20,不超过200字,城市治理；经济发展,国考-2018-市级-M1；国考-2018-市级-M2；国考-2018-市级-M4；国考-2018-市级-M3；国考-2018-市级-M5；国考-2018-市级-M6,2018年国家录用公务员考试《申论》真题卷及答案（地市级）.pdf,高,通过强清洗，可进入候选池,
SL-00095,2022,国考,国考,省级卷,1,1,综合分析,解释评价/启示分析,根据“给定材料 1”，请你谈谈 W 公司的案例为企业科技创新提供了哪些启示。（10 分）,分析全面、条理清晰，不超过200 字。,1,10,不超过200字,科技创新,国考-2022-省级-M1；国考-2022-省级-M2；国考-2022-省级-M4；国考-2022-省级-M5,2022年国家公考《申论》真题（副省级）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00096,2022,国考,国考,省级卷,1,2,提出对策,对策措施,"根据“给定材料 2”，请你谈谈 G 省在推进粮食产业发展中遇到了哪些问题，并注意说明这些问
题都是如何解决的。（15 分）",提炼准确，归纳合理；层次分明，分条表述；不超过300 字。,2,15,不超过300字,经济发展,国考-2022-省级-M1；国考-2022-省级-M2；国考-2022-省级-M4；国考-2022-省级-M5,2022年国家公考《申论》真题（副省级）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00097,2022,国考,国考,省级卷,1,3,申论综合,待细分,"为进一步开发乡村旅游产业，临诗村所在的向江县计划举办“畅游美丽渔村，感受渔家文化”临
诗村专场推介会。假如你是该县文化旅游局工作人员，请你草拟一份宣传材料。（20 分）",紧扣材料，内容全面，条理清晰，语言生动，不超过500 字。,，,20,不超过500字,基层治理；乡村振兴；文化教育,国考-2022-省级-M1；国考-2022-省级-M2；国考-2022-省级-M4；国考-2022-省级-M5,2022年国家公考《申论》真题（副省级）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00098,2022,国考,国考,省级卷,1,4,申论综合,待细分,"根据“给定材料 4”，谈谈为什么说“未来学校”是“在更高的教育境界上来思考学校发展”，又是从
哪些方面体现？（20 分）",全面、准确、有条理，不超过400 字。,4,20,不超过400字,公共服务；文化教育,国考-2022-省级-M1；国考-2022-省级-M2；国考-2022-省级-M4；国考-2022-省级-M5,2022年国家公考《申论》真题（副省级）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00099,2022,国考,国考,省级卷,1,5,文章写作,大作文/议论文,"给定材料5 中说“今天的思维和播种，决定了我们未来的收获”，请结合对这句话的理解，参考
材料，联系实际，自选角度，自拟题目，写一篇文章。（35 分）","观点明确，见解深刻；参考给定材料，但不拘泥于材料；思路清晰，语言流畅；字数
1000-1200",5；，；，,35,,,国考-2022-省级-M1；国考-2022-省级-M2；国考-2022-省级-M4；国考-2022-省级-M5,2022年国家公考《申论》真题（副省级）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00104,2025,国考,国考,省级卷,1,1,申论综合,待细分,"""给定材料1""中提到了三条“黄河”。请你谈一谈这三条“黄河”分别指什么，并说明它们
是如何协同发挥作用的。（15分）",全面、准确、有条理。不超过350字。,1,15,不超过350字,,国考-2025-省级-M1；国考-2025-省级-M2；国考-2025-省级-M3；国考-2025-省级-M4,2025年国家公务员考试《申论》题（副省级）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00105,2025,国考,国考,省级卷,1,2,综合分析,解释评价/启示分析,"请根据""给定材料2""，谈一谈你对划线句子“只有慢慢发展，慢慢成熟，蓦然回首才会发
现：不是产业，竟是产业”的理解。 （10分）",全面、准确、条理清晰。不超过300字。,2,10,不超过300字,经济发展,国考-2025-省级-M1；国考-2025-省级-M2；国考-2025-省级-M3；国考-2025-省级-M4,2025年国家公务员考试《申论》题（副省级）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00106,2025,国考,国考,省级卷,1,3,文章写作,大作文/议论文,"今州粮仓计划在本园区入口处设立宣传展板，请你根据""给定材料3""为展板拟写一篇文稿，
宣传介绍粮仓的“前世今生”。（20分）",（1）紧扣材料，内容全面；（2）条理清晰，语言生动；（3）不超过400字。,3；，,20,不超过400字,,国考-2025-省级-M1；国考-2025-省级-M2；国考-2025-省级-M3；国考-2025-省级-M4,2025年国家公务员考试《申论》题（副省级）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00107,2025,国考,国考,省级卷,1,4,提出对策,对策措施,"如果你是青溪县数据局工作人员，请根据""给定材料4""，梳理青溪县数据标注企业发展中的
问题，并提出进一步推动该县数据标注产业发展的建议。（20分）","（1）问题梳理全面、准确，有条理；（2）所提建议有针对性，切实可行；（3）层次分
明，有逻辑性；（4）不超过400字。",4,20,不超过400字,科技创新；经济发展,国考-2025-省级-M1；国考-2025-省级-M2；国考-2025-省级-M3；国考-2025-省级-M4,2025年国家公务员考试《申论》题（副省级）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00109,2025,国考,国考,地市级卷,1,1,申论综合,待细分,"请根据""给定材料1""，谈谈宣化城市传统葡萄园的“生态实践智慧”体现在哪些方面。
（10分）",全面、准确、有条理。不超过200字。,1,10,不超过200字,生态环保；城市治理,国考-2025-市级-M1；国考-2025-市级-M2；国考-2025-市级-M3；国考-2025-市级-M4,2025年国家公务员考试《申论》题（地市级）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00110,2025,国考,国考,地市级卷,1,2,综合分析,解释评价/启示分析,"""给定材料2""介绍了虑远科技与新杭市埠西区政府合力治水的事例。请你谈谈在这一事例
中，政府与企业是如何通过良性互动实现成功治水的。（15分）",理解准确，内容全面，逻辑清晰。不超过300字。,2,15,不超过300字,科技创新,国考-2025-市级-M1；国考-2025-市级-M2；国考-2025-市级-M3；国考-2025-市级-M4,2025年国家公务员考试《申论》题（地市级）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00111,2025,国考,国考,地市级卷,1,3,提出对策,对策措施,"假如你是“林票2.0”改革工作组成员，请根据""给定材料3""，梳理长青市林票制改革已取
得的成效并提出进一步深化改革的建议。（20分）","（1）紧扣资料，全面具体；（2）所提建议有针对性、切实可行；（3）层次分明，有逻
辑性；（4）不超过450字。",3；，,20,不超过450字,,国考-2025-市级-M1；国考-2025-市级-M2；国考-2025-市级-M3；国考-2025-市级-M4,2025年国家公务员考试《申论》题（地市级）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00112,2025,国考,国考,地市级卷,1,4,提出对策,对策措施,"假如你是S市政协委员，准备提交一份“关于助推‘元科普’，促进科普与科研共发展的提
案”。请根据""给定材料4""，拟写“提案案由”和“建议”两部分的内容。（20分）",理由充分，建议明确可行，条理清晰。不超过500字。,4,20,不超过500字,,国考-2025-市级-M1；国考-2025-市级-M2；国考-2025-市级-M3；国考-2025-市级-M4,2025年国家公务员考试《申论》题（地市级）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00114,2025,国考,国考,通用卷,1,1,归纳概括,概括要点,"请根据""给定材料1""，概括A市积极促进高科技企业和新兴产业发展的主要做法。（10分）",全面、准确，有条理，不超过250字。,1,10,不超过250字,科技创新；经济发展,国考-2025-未知-M1；国考-2025-未知-M2；国考-2025-未知-M3；国考-2025-未知-M4；国考-2025-未知-M5,2025年国家公务员考试《申论》题（行政执法卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00115,2025,国考,国考,通用卷,1,2,综合分析,解释评价/启示分析,"""给定材料2""中提到“S市总工会工作的优化，真正实现了以职工需求推动服务的新格局”，
请说明S市总工会是如何实现这种新格局的。（15分）",理解准确，内容全面，逻辑清晰，不超过250字。,2,15,不超过250字,,国考-2025-未知-M1；国考-2025-未知-M2；国考-2025-未知-M3；国考-2025-未知-M4；国考-2025-未知-M5,2025年国家公务员考试《申论》题（行政执法卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00116,2025,国考,国考,通用卷,1,3,申论综合,待细分,"为使夜市管理工作更加规范，B市大帆夜市综合服务办公室计划编写一份“平安夜市安全巡
查工作指南”供工作人员使用。根据""给定材料3""，请你草拟工作中的工作事项及其相应工作内容。
（20分）","（1）紧扣资料，内容全面；（2）工作事项明确，工作内容具体；（3）层次分明，条目
清晰，语言简洁；（4）不超过500字。",3；，,20,不超过500字,,国考-2025-未知-M1；国考-2025-未知-M2；国考-2025-未知-M3；国考-2025-未知-M4；国考-2025-未知-M5,2025年国家公务员考试《申论》题（行政执法卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00117,2025,国考,国考,通用卷,1,4,贯彻执行,应用文/事务文书,"""给定材料4""中的指导组完成现场指导后，拟向西瑞药业负责人当面谈话反馈。请你根据
“给定材料4”，拟写一份谈话内容提纲。（20分）","（1）成效、问题梳理全面、准确；（2）所提改进建议具体明确，切实可行；（3）语言
简洁，条理清晰；（4）字数不超过450字。",4；4,20,不超过450字,,国考-2025-未知-M1；国考-2025-未知-M2；国考-2025-未知-M3；国考-2025-未知-M4；国考-2025-未知-M5,2025年国家公务员考试《申论》题（行政执法卷）及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00120,2009,省考,安徽,通用卷,2,,综合分析,解释评价/启示分析,"以“材料一”内容，假定你是人大代表赵xx，在提交的议案中需陈述整治凤山路的理由，
请用简洁的短语，概括出无证摊贩导致凤山路“脏乱差”具体表现的六个方面。",,一,,,生态环保,安徽-2009-未知-M30,2009年安徽省公务员考试《申论》真题及参考答案.pdf,高,通过强清洗，可进入候选池,截断后置列点答案
SL-00125,2009,省考,安徽,通用卷,5,,贯彻执行,应用文/事务文书,"假定“材料三”是某市城管局编发的一份简报中的三个简讯，请为此写一则能体现编者意
图的250字左右的“编者按”。",,三,,250字左右,基层治理；生态环保；科技创新,安徽-2009-未知-M30,2009年安徽省公务员考试《申论》真题及参考答案.pdf,高,通过强清洗，可进入候选池,截断后置答案/解析/范文
SL-00131,2010,省考,安徽,通用卷,2,,文章写作,大作文/议论文,"写作题设置为“根据给定材料三中B市旅游局通报的
事件和当前旅游业的相关情况，为积极响应B市人民政府开展以整治‘零团费’为主要内
容，加强旅游市场管理的专项活动，请以B市某旅行社的名义向全市旅行社发一份倡议书。
(50分)”,即写作题为一篇公文型文章，",,三,50,,文化教育；经济发展,安徽-2010-未知-M30,2010年安徽省公务员考试《申论》（B卷）真题及参考答案.pdf,高,通过强清洗，可进入候选池,截断后置答案/解析/范文
SL-00132,2010,省考,安徽,通用卷,3,,综合分析,解释评价/启示分析,"请仔细阅读资料，用简洁的文字揭示“零团费”旅游的实质及造成的主要危
害。（不得多于150字）18分",,，,18,,文化教育,安徽-2010-未知-M30,2010年安徽省公务员考试《申论》（B卷）真题及参考答案.pdf,高,通过强清洗，可进入候选池,截断后置答案/解析/范文
SL-00133,2010,省考,安徽,通用卷,4,,归纳概括,概括要点,"阅读给定材料三，在答题卡相应位置，从三个方面分别用一句话归纳“零团
费”旅游中设置的陷阱",,三，,,,文化教育,安徽-2010-未知-M30,2010年安徽省公务员考试《申论》（B卷）真题及参考答案.pdf,高,通过强清洗，可进入候选池,截断后置答案/解析/范文
SL-00134,2010,省考,安徽,通用卷,5,,综合分析,解释评价/启示分析,"在给定材料四中，老陈认为欺客、宰客等不良现象都和导游有关，而根本却
不在于导游，海南的畸形发展，都是零团费惹的祸。请对上述观点进行评述，要求有理有
据，逻辑严谨，分析恰当。（不得超过400字）23分",,四；，,23,,,安徽-2010-未知-M30,2010年安徽省公务员考试《申论》（B卷）真题及参考答案.pdf,高,通过强清洗，可进入候选池,截断后置答案/解析/范文
SL-00135,2010,省考,安徽,通用卷,6,,贯彻执行,应用文/事务文书,"根据给定材料三中B市旅游局通报的事件和当前旅游业的相关情况，为积极
响应B市人民政府开展以整治“零团费”为主要内容，加强旅游市场管理的专项活动，请
以B市某旅行社的名义向全市旅行社发一份倡议书。（50分）",,三；三,50,,文化教育；经济发展,安徽-2010-未知-M30,2010年安徽省公务员考试《申论》（B卷）真题及参考答案.pdf,高,通过强清洗，可进入候选池,截断后置答案/解析/范文
SL-00137,2012,省考,安徽,通用卷,2,,归纳概括,概括要点,"说明的共同问题： 一、微博公益已成为公众参与慈善捐助的主要渠道； 二、微博捐助参
与人数多，单位捐助数额都较小，捐助总额数量大。",,,,,,安徽-2012-未知-M40,2012年安徽省公务员考试《申论》（B卷）真题及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00143,2013,省考,安徽,通用卷,1,,申论综合,待细分,"，中心明确，思想深刻，内容充实，有说服力及语言流畅，另外注意作答字数不少
于800字。",,,,,科技创新；经济发展,安徽-2013-未知-M40；安徽-2013-未知-M1；安徽-2013-未知-M4；安徽-2013-未知-M3；安徽-2013-未知-M6；安徽-2013-未知-M7；安徽-2013-未知-M2,2013年413公务员联考《申论》（安徽B卷）真题及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00150,2015,省考,安徽,通用卷,1,,文章写作,大作文/议论文,"请根据“给定材料1”，概括“创客运动”在中国迅猛发展所产生的积极效果。
[","（1）准确全面；（2）分条表述；（3）语言简洁，200字以内]（18分）
（三）某市╳╳区政府网站于近期开辟了一个“新变化 新风尚”专栏。假设你是该网站的一名工作
人员，领导指派你去某居民小区进行采访，而“给定材料5”列举的事例是你采访所得的原始材料。请将此
整理成一篇新闻稿，发表在区政府网站的该专栏里。
[要求：（1）主题明确，重点突出；（2）简明扼要，概括性强；（3）标题自拟，结构完整；（4）450
—500字]（22分）
（四）从“给定材料”可以看出，随着社会发展进步，很多“习惯”发生了改变。请你以“习惯的是
是非非”为题，撰写一篇不少于800字的文章。
[要求：（1）中心明确，思想深刻；（2）内容充实，论证有力；（3）思路清晰，语言流畅]（45分）",1；5,18,450—500字,城市治理,安徽-2015-未知-M40；安徽-2015-未知-M2；安徽-2015-未知-M6；安徽-2015-未知-M7；安徽-2015-未知-M1；安徽-2015-未知-M5,2015年425公务员联考《申论》（安徽B卷）真题及参考答案.pdf,高,通过强清洗，可进入候选池,
SL-00156,2016,省考,安徽,通用卷,1,1,综合分析,解释评价/启示分析,根据给定材料1、2，概括当代社会中“90”后群体开展创业的优势。（15分）,内容全面、观点明确、语言简洁。不超过200字。,1、2，,15,不超过200字,,安徽-2016-未知-M1；安徽-2016-未知-M4；安徽-2016-未知-M3；安徽-2016-未知-M7,2016年423公务员联考《申论》（安徽B卷）真题及参考答案.pdf,高,通过强清洗，可进入候选池,
